model_id,research_id,signal_universe_id,feature_group_scope,feature_group_id,feature_group_name_zh,pattern_id,pattern_name_zh,entry_rule_zh,stop_loss_rule_zh,hold_rule_zh,exit_rule_zh,sample_size,unique_stocks,win_rate,avg_return,median_return,max_drawdown,avg_mfe,avg_mae,avg_holding_days,profit_factor,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,out_of_sample_median_return,out_of_sample_pass,confidence_status,research_score,research_rank,recommended_rank_weight,candidate_status,approved_for_daily_candidate,approved_for_daily,risk_notes_zh,generated_at,data_start_date,data_end_date,out_of_sample_start_date
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,volume_ratio,lt_2,量比低於2,signal_close_hold_5d,當日收盤買固定5日,訊號日收盤價買進。,無固定停損；僅統計歷史持有表現。,固定持有至 D+5 收盤。,D+5 收盤出場。,434,261,63.59,8.1353,5.0114,-37.4194,21.4398,-6.0968,5.0,3.2537,330,62.73,7.9878,4.6244,True,high,38.2849,11,3.8285,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,consolidation,medium_base,中等盤整,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,860,530,55.35,4.1214,0.9727,-29.2559,12.7578,-5.738,10.0,2.5902,350,61.71,6.753,3.0514,True,high,27.1768,13,2.7177,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,price_position,high_position,高位階,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,2048,878,54.88,4.9774,1.3896,-49.1525,15.0853,-6.7948,10.0,2.687,1055,56.3,6.1868,2.1672,True,high,26.7992,14,2.6799,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,consolidation,wide_or_non_base,寬幅或非盤整,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,1198,563,53.17,5.353,1.4461,-49.1525,17.4467,-8.2626,10.0,2.4607,701,54.35,6.2631,2.1505,True,high,26.1164,15,2.6116,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,consolidation,wide_or_non_base,寬幅或非盤整,pullback_5ma_hold_10d,回測5MA買固定10日,訊號後5個交易日內第一次回測5MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,1743,646,53.82,4.8762,1.6192,-44.8357,17.3176,-9.0925,10.0,2.2299,992,52.02,4.7951,0.9485,True,high,26.0539,16,2.6054,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,volume_ratio,lt_2,量比低於2,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,230,162,53.48,5.3737,1.7548,-49.1525,18.2546,-9.4353,10.0,2.3561,176,53.98,5.1977,1.7548,True,medium,24.0694,17,2.4069,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,price_position,middle_position,中位階,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,342,288,51.46,2.4029,0.5159,-18.9624,9.9308,-5.1097,10.0,2.0593,172,58.14,4.3142,1.4805,True,medium,23.654,18,2.3654,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,attack_method,locked_limit_up,鎖量漲停,signal_close_hold_5d,當日收盤買固定5日,訊號日收盤價買進。,無固定停損；僅統計歷史持有表現。,固定持有至 D+5 收盤。,D+5 收盤出場。,2722,999,51.43,3.394,0.563,-37.4194,14.3733,-8.8676,5.0,1.9049,1372,52.33,4.1231,1.0551,True,medium,22.7075,19,2.2708,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,event_filter,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,signal_close_hold_5d,當日收盤買固定5日,訊號日收盤價買進。,無固定停損；僅統計歷史持有表現。,固定持有至 D+5 收盤。,D+5 收盤出場。,2722,999,51.43,3.394,0.563,-37.4194,14.3733,-8.8676,5.0,1.9049,1372,52.33,4.1231,1.0551,True,medium,22.7075,20,2.2708,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,volume_ratio,2_to_3,量比2到3,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,917,582,53.87,4.0513,1.0973,-89.805,13.7435,-6.7499,10.0,2.3222,438,57.08,5.2516,1.7974,True,high,21.3723,21,2.1372,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,attack_method,locked_limit_up,鎖量漲停,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,1594,804,53.01,4.3713,0.8585,-89.805,14.8622,-7.0101,10.0,2.3979,802,57.23,5.8669,2.279,True,high,21.1921,22,2.1192,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
volume_range_breakout,volume_breakout_buy_signal_grid,current_daily_production_volume_range_breakout_v1,event_filter,limit_up_like_current_hit,漲停或接近漲停且符合現行模型,pullback_10ma_hold_10d,回測10MA買固定10日,訊號後7個交易日內第一次回測10MA買進。,無固定停損；僅統計回測買點表現。,買進後固定持有10個交易日。,第10個持有交易日收盤出場。,1594,804,53.01,4.3713,0.8585,-89.805,14.8622,-7.0101,10.0,2.3979,802,57.23,5.8669,2.279,True,high,21.1921,23,2.1192,promotion_candidate,True,False,research only; production promotion requires a separate approval PR.,2026-07-19 11:09:51 Asia/Taipei,20250507,20260709,20260309
