owner_model_id,producer,artifact_glob,artifact_class,change_policy,formal_evidence_status,notes
revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_*,model_research_output,model_owned_write,research_only,Revenue research latest artifacts.
revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/history/research/revenue_unreacted_range_*,model_research_history,model_owned_write,research_only,Revenue research append or replacement history artifacts.
revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,docs/latest/revenue_unreacted_range_*,model_research_docs,model_owned_write,research_only,Revenue research documentation mirrors.
price_pullback_23ema,scripts/build_price_pullback_23ema_research.py,output/latest/research_backtest/price_pullback_23ema_*,model_research_output,model_owned_write,formal_evidence_candidate,23EMA model-owned research latest artifacts.
price_pullback_23ema,scripts/build_price_pullback_23ema_research.py,output/history/research/price_pullback_23ema_*,model_research_history,model_owned_write,formal_evidence_candidate,23EMA model-owned research history artifacts.
price_pullback_23ema,scripts/build_price_pullback_23ema_research.py,docs/latest/price_pullback_23ema_*,model_research_docs,model_owned_write,formal_evidence_candidate,23EMA model-owned research documentation mirrors.
volume_range_breakout_v2,scripts/build_volume_range_breakout_v2_research.py,output/latest/research_backtest/volume_range_breakout_v2_*,model_research_output,model_owned_write,formal_evidence_candidate,Volume breakout v2 model family research latest artifacts.
volume_range_breakout_v2,scripts/build_volume_range_breakout_v2_research.py,output/history/research/volume_range_breakout_v2_*,model_research_history,model_owned_write,formal_evidence_candidate,Volume breakout v2 model family research history artifacts.
volume_range_breakout_v2,scripts/build_volume_range_breakout_v2_research.py,docs/latest/volume_range_breakout_v2_*,model_research_docs,model_owned_write,formal_evidence_candidate,Volume breakout v2 model family research documentation mirrors.
hot_theme_pullback,scripts/build_hot_theme_pullback_research.py,output/latest/research_backtest/hot_theme_pullback_*,model_research_output,model_owned_write,research_only,Hot-theme pullback model-owned research latest artifacts.
hot_theme_pullback,scripts/build_hot_theme_pullback_research.py,output/history/research/hot_theme_pullback_*,model_research_history,model_owned_write,research_only,Hot-theme pullback model-owned research history artifacts.
hot_theme_pullback,scripts/build_hot_theme_pullback_research.py,docs/latest/hot_theme_pullback_*,model_research_docs,model_owned_write,research_only,Hot-theme pullback model-owned research documentation mirrors.
pullback_short_reclaim,scripts/build_pullback_short_reclaim_research.py,output/latest/research_backtest/pullback_short_reclaim_*,model_research_output,model_owned_write,research_only,Pullback short-reclaim model-owned research latest artifacts.
tdcc_stealth_accumulation,scripts/build_tdcc_stealth_accumulation_research.py,output/research/tdcc_stealth_accumulation/tdcc_stealth_accumulation_actual_recommendation_replay_*_v1.csv,model_research_output,model_owned_write,research_only,TDCC stealth accumulation model-owned v1 research artifacts.
tdcc_short_term_continuation_d5_d10,scripts/build_tdcc_short_term_continuation_d5_d10_research.py,output/latest/research_backtest/tdcc_short_term_continuation_d5_d10_research_*,model_research_output,model_owned_write,research_only,TDCC short-term continuation D+5/D+10 model-owned research latest artifacts.
w_bottom_right_side,scripts/build_w_bottom_research_overlap_guardrails.py,output/latest/research_backtest/w_bottom_*,other_model_research,owner_only,formal_evidence_candidate,W-bottom research must not change during another model run.
w_bottom_right_side,scripts/build_daily_w_bottom_operation_sections.py,output/latest/daily_w_bottom_*,formal_operation_adapter,formal_sync_only,formal_evidence_pinned,W-bottom operation rows are production-facing and never model-research side effects.
neckline_volume_breakout_confirmation,scripts/build_daily_w_bottom_operation_sections.py,output/latest/daily_neckline_*,formal_operation_adapter,formal_sync_only,formal_evidence_pinned,Neckline operation rows are production-facing and never model-research side effects.
price_pullback_23ema,scripts/build_daily_price_pullback_23ema_operation_section.py,output/latest/daily_price_pullback_23ema_*,formal_operation_adapter,formal_sync_only,formal_evidence_pinned,23EMA operation rows require an explicit formal sync.
volume_range_breakout_v2,scripts/build_daily_volume_breakout_operation_section.py,output/latest/daily_volume_breakout_*,formal_operation_adapter,formal_sync_only,formal_evidence_pinned,Volume v2 operation rows require an explicit formal sync.
daily_production,scripts/update_daily_published_model_snapshots.py,output/history/daily_model_snapshots/*,production_snapshot,production_only,formal_evidence_pinned,Research model runs must never publish or rewrite daily production snapshots.
model_governance,scripts/sync_revenue_unreacted_range_operation_readiness.py,output/latest/model_operation_readiness_latest.*,formal_readiness,formal_sync_only,formal_evidence_pinned,Readiness is refreshed only by the sole explicit revenue-only formal sync producer after the trusted same-model in-memory producer and independent validator replay in an exact clean detached worktree; post-child repository cleanliness is a hard gate and the registered producer writes only the exact four readiness mirrors.
model_governance,scripts/sync_revenue_unreacted_range_operation_readiness.py,docs/latest/model_operation_readiness_latest.*,formal_readiness_mirror,formal_sync_only,formal_evidence_pinned,Docs mirror is refreshed only by the same sole explicit revenue-only formal sync producer and must remain byte-identical; replay-child called APIs do not include artifact writers and the registered producer write allowlist remains the exact four readiness mirrors.
model_governance,scripts/build_approved_operation_patterns.py,output/latest/approved_operation_patterns_latest.*,formal_approval,formal_sync_only,formal_evidence_pinned,Approved operation patterns are not research-run outputs.
cross_model_research,scripts/build_daily_model_parameter_research.py,output/latest/daily_model_parameter_research_*,cross_model_aggregate,cross_model_migration_only,not_formal_evidence,Legacy aggregate output may run only under declared cross-model migration.
cross_model_research,scripts/build_daily_model_parameter_research.py,output/history/research/daily_model_parameter_research.csv,cross_model_aggregate,cross_model_migration_only,not_formal_evidence,Legacy aggregate history may run only under declared cross-model migration.
cross_model_research,scripts/build_daily_model_parameter_research.py,docs/latest/daily_model_parameter_research_*,cross_model_aggregate,cross_model_migration_only,not_formal_evidence,Legacy aggregate docs may run only under declared cross-model migration.
