generated_at,model_id,model_name_zh,research_artifact_id,lifecycle_replay_scope,test_order,test_stage,condition_test_id,condition_role_candidate,condition_rule,data_status,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,buy_point_rule,source_signal_stock_days,source_unique_stocks,source_mature_signal_stock_days,accepted_trade_count,accepted_unique_stocks,suppressed_signal_count,suppressed_rate_pct,accepted_share_of_source_mature_pct,baseline_accepted_trade_count,accepted_trade_share_of_baseline_pct,source_signal_day_count,source_avg_signals_per_signal_day,accepted_signal_day_count,accepted_avg_trades_per_signal_day,research_trading_day_count,source_avg_signals_per_research_day,accepted_avg_trades_per_research_day,first_signal_date,last_signal_date,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_realized_return_pct,decision_hint,score_use,metric_surface_use,pdf_metric_readiness,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,mature_count,win_count,neutral_count,failure_count,same_day_unresolved_count,hard_stop_count,ma5_exit_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,same_day_unresolved_rate_pct,hard_stop_rate_pct,ma5_exit_rate_pct,avg_d20_close_return_pct,median_d20_close_return_pct,avg_realized_return_pct,avg_win_realized_return_pct,avg_failure_realized_return_pct,avg_neutral_realized_return_pct,avg_realized_or_d20_days,avg_days_to_win,avg_days_to_failure
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,0,00_baseline,baseline_replay,baseline_anchor,production proxy replay only; no additional condition,available_point_in_time_research_frame,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,303013,1975,264320,22254,1964,242066,91.58,8.42,22254,100.0,264,1147.78,232,95.92,274,1105.89,81.22,20250523,20260701,0.0,0.0,0.0,baseline_trade_level_anchor,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",22254,3673,5981,12600,0,6469,2879,16.5,26.88,56.62,0.0,29.07,12.94,2.04,-0.44,1.22,18.45,-5.03,3.8,13.45,9.62,13.18
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,220,05_v1_candidate_stack,v1_gate_return20_tdcc_high,v1_required_gate_plus_chip_candidate,v1 draft: require return20_0_25 and large-holder TDCC high thresholds increased,research_only_v1_candidate_not_production,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,12424,1328,5662,1265,857,4397,77.66,22.34,22254,5.68,140,88.74,108,11.71,274,45.34,4.62,20251128,20260701,9.03,-14.25,1.8,strong_gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1265,323,406,536,0,170,383,25.53,32.09,42.37,0.0,13.44,30.28,3.57,0.9,3.02,18.3,-6.33,3.19,12.6,8.73,14.22
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,225,05_v1_candidate_stack,v1_gate_return20_tdcc_high_obv,v1_required_gate_plus_chip_and_technical_candidate,"v1 draft: require return20_0_25, large-holder TDCC high thresholds increased, and OBV above MA20",research_only_v1_candidate_not_production,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,8642,1119,4012,996,671,3016,75.17,24.83,22254,4.48,140,61.73,106,9.4,274,31.54,3.64,20251128,20260701,9.6,-14.45,2.08,strong_gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",996,260,316,420,0,103,338,26.1,31.73,42.17,0.0,10.34,33.94,3.75,0.86,3.3,18.45,-5.82,2.95,12.32,8.5,14.45
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1000,06_candle_quality_reference,volume_red_k_vol1.2,buy_point_quality_reference_not_required_gate,bullish red K with volume_ratio_prev20 >= 1.2,computed_from_point_in_time_price_volume,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,30729,1961,26210,10639,1929,15571,59.41,40.59,22254,47.81,264,116.4,232,45.86,274,112.15,38.83,20250523,20260701,-0.1,-3.39,-0.38,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",10639,1745,3231,5663,0,1861,2647,16.4,30.37,53.23,0.0,17.49,24.88,1.38,-0.68,0.84,16.57,-5.28,3.06,13.46,9.02,14.44
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1010,06_candle_quality_reference,solid_volume_red_k_vol1.2,buy_point_quality_reference_not_required_gate,solid red K with volume_ratio_prev20 >= 1.2,computed_from_point_in_time_price_volume,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,16106,1930,13720,7659,1872,6061,44.18,55.82,22254,34.42,264,61.01,232,33.01,274,58.78,27.95,20250523,20260701,-0.57,-4.03,-0.45,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",7659,1220,2411,4028,0,1156,2193,15.93,31.48,52.59,0.0,15.09,28.63,1.13,-0.66,0.77,16.27,-5.22,2.91,13.23,8.72,14.35
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1020,06_candle_quality_reference,solid_volume_red_k_vol1.5,buy_point_quality_reference_not_required_gate,solid red K with volume_ratio_prev20 >= 1.5,computed_from_point_in_time_price_volume,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,10370,1876,8752,5752,1793,3000,34.28,65.72,22254,25.85,264,39.28,232,24.79,274,37.85,20.99,20250523,20260701,-0.56,-3.93,-0.5,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",5752,917,1804,3031,0,798,1883,15.94,31.36,52.69,0.0,13.87,32.74,1.09,-0.79,0.72,16.16,-5.14,2.73,12.71,8.49,13.85
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,0,00_baseline,baseline_replay,baseline_anchor,production proxy replay only; no additional condition,available_point_in_time_research_frame,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,303013,1975,264320,22621,1964,241699,91.44,8.56,22621,100.0,264,1147.78,232,97.5,274,1105.89,82.56,20250523,20260701,0.0,0.0,0.0,baseline_trade_level_anchor,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",22621,5349,4636,12636,0,6471,1663,23.65,20.49,55.86,0.0,28.61,7.35,2.05,-0.43,1.2,13.96,-5.05,3.5,13.11,9.09,13.19
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,220,05_v1_candidate_stack,v1_gate_return20_tdcc_high,v1_required_gate_plus_chip_candidate,v1 draft: require return20_0_25 and large-holder TDCC high thresholds increased,research_only_v1_candidate_not_production,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,12424,1328,5662,1287,857,4375,77.27,22.73,22621,5.69,140,88.74,110,11.7,274,45.34,4.7,20251128,20260701,16.52,-15.92,2.0,strong_gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1287,517,256,514,0,169,228,40.17,19.89,39.94,0.0,13.13,17.72,3.38,0.89,3.2,13.19,-6.44,2.36,11.98,8.32,14.41
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,225,05_v1_candidate_stack,v1_gate_return20_tdcc_high_obv,v1_required_gate_plus_chip_and_technical_candidate,"v1 draft: require return20_0_25, large-holder TDCC high thresholds increased, and OBV above MA20",research_only_v1_candidate_not_production,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,8642,1119,4012,1013,671,2999,74.75,25.25,22621,4.48,140,61.73,106,9.56,274,31.54,3.7,20251128,20260701,18.21,-16.18,2.19,strong_gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1013,424,187,402,0,103,206,41.86,18.46,39.68,0.0,10.17,20.34,3.77,0.85,3.39,12.87,-5.89,1.84,11.62,8.14,14.61
2026-07-02 20:39:32 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1000,06_candle_quality_reference,volume_red_k_vol1.2,buy_point_quality_reference_not_required_gate,bullish red K with volume_ratio_prev20 >= 1.2,computed_from_point_in_time_price_volume,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,30729,1961,26210,10724,1929,15486,59.08,40.92,22621,47.41,264,116.4,232,46.22,274,112.15,39.14,20250523,20260701,3.64,-3.69,-0.37,quality_filter_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",10724,2927,2202,5595,0,1867,1637,27.29,20.53,52.17,0.0,17.41,15.26,1.38,-0.68,0.83,11.4,-5.33,2.41,13.01,8.17,14.56
