archive_id,related_record_ids,period,payload_role,source_id,official_url,request_contract,captured_at,official_public_at,availability_precision,external_archive_root_id,external_archive_relative_path,raw_archive_ref,raw_payload_sha256,raw_byte_count,media_type,archive_status,pit_eligible,formal_model_use_allowed,notes
bulk_xbrl_2013Q1,tifrs-2013Q1.zip,2013Q1,bulk_xbrl_archive,mops_xbrl_bulk_download,https://mopsov.twse.com.tw/server-java/FileDownLoad,GET step=9;functionName=show_file2;fileName=tifrs-2013Q1.zip;filePath=/ifrs/2013/,2026-07-16T07:03:37+08:00,,not_a_company_availability_timestamp,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716070337_bulk_xbrl_2013Q1_f6974e00aec749a3.zip,sha256://f6974e00aec749a3486d7944871fbe299129bdfe4107f1f4453699272b266f16,f6974e00aec749a3486d7944871fbe299129bdfe4107f1f4453699272b266f16,39743902,application/zip,external_content_addressed_archive_verified,False,False,Archive rebuild time is not company filed_at and current payload is not revision history.
bulk_xbrl_2025Q1,tifrs-2025Q1.zip,2025Q1,bulk_xbrl_archive,mops_xbrl_bulk_download,https://mopsov.twse.com.tw/server-java/FileDownLoad,GET step=9;functionName=show_file2;fileName=tifrs-2025Q1.zip;filePath=/ifrs/2025/,2026-07-16T07:04:49+08:00,,not_a_company_availability_timestamp,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716070449_bulk_xbrl_2025Q1_975c3439879d92bb.zip,sha256://975c3439879d92bb336476f0691cc0547108b19603d06940439963c5fba1cb11,975c3439879d92bb336476f0691cc0547108b19603d06940439963c5fba1cb11,79393507,application/zip,external_content_addressed_archive_verified,False,False,Archive rebuild time is not company filed_at and current payload is not revision history.
t57_2330_2013Q1,2013Q1_2330_cr_upload,2013Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2330;year=102;seamon=;mtype=A,2026-07-16T14:46:49+08:00,2013-05-15T14:26:07+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_2330_2013Q1_8521042ec753b3d2.html,sha256://8521042ec753b3d2395f6afdf5c38e0e135734c031c27db67c8022c16fab33d9,8521042ec753b3d2395f6afdf5c38e0e135734c031c27db67c8022c16fab33d9,7869,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t57_5347_2013Q1,2013Q1_5347_cr_upload,2013Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=5347;year=102;seamon=;mtype=A,2026-07-16T14:46:49+08:00,2013-05-06T14:04:13+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_5347_2013Q1_4cd786421ee144e8.html,sha256://4cd786421ee144e80e5e274fc7e895dd57b119f21b21d138c7d2306682690622,4cd786421ee144e80e5e274fc7e895dd57b119f21b21d138c7d2306682690622,5507,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t57_2881_2013Q1,2013Q1_2881_cr_upload,2013Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,POST step=1;colorchg=1;co_id=2881;year=102;seamon=;mtype=A;check2858=Y,2026-07-16T14:46:49+08:00,2013-05-30T09:46:03+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_2881_2013Q1_e3c4b9abe341f039.html,sha256://e3c4b9abe341f0391a1f41afc1fbe9b853970c30875fea49a0fb9e395c0d84af,e3c4b9abe341f0391a1f41afc1fbe9b853970c30875fea49a0fb9e395c0d84af,5044,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t57_2816_2013Q1,2013Q1_2816_ir_upload;2013Q1_2816_ir_revision,2013Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2816;year=102;seamon=;mtype=A,2026-07-16T14:46:49+08:00,2013-04-30T14:58:52+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_2816_2013Q1_83fc61b4a444c132.html,sha256://83fc61b4a444c132ba9e4c5ea7c7af4d1cbadcff97905bc63a1c9a9bdd2e2b74,83fc61b4a444c132ba9e4c5ea7c7af4d1cbadcff97905bc63a1c9a9bdd2e2b74,5247,text/html,external_content_addressed_archive_verified,False,False,Visible document upload precedes a known correction but is not XBRL revision filed_at.
t05_2816_2013Q1_correction,2013Q1_2816_ir_revision,2013Q1,material_information_correction,mops_historical_material_information,https://mopsov.twse.com.tw/mops/web/ajax_t05st01,POST step=2;TYPEK=sii;co_id=2816;year=102;spoke_date=20130516;spoke_time=185338;seq_no=1,2026-07-16T14:47:59+08:00,2013-05-16T18:53:38+08:00,announcement_timestamp_for_mentioned_fields_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t05_2816_2013Q1_correction_cdeda2e1ae85b034.html,sha256://cdeda2e1ae85b03409a2025f58d23c06d27b5e5647e5e0cacf9bf90a793035b1,cdeda2e1ae85b03409a2025f58d23c06d27b5e5647e5e0cacf9bf90a793035b1,6468,text/html,external_content_addressed_archive_verified,False,False,Announcement timestamp applies only to fields present in the announcement.
t56_2816_2013Q1_correction,2013Q1_2816_ir_revision,2013Q1,financial_report_correction_detail,mops_financial_report_correction,https://mopsov.twse.com.tw/mops/web/ajax_t56sb31_q1,GET step=2;TYPEK=sii;CID=2816;YEAR_SEASON=201301;RID=3;DTYPE=I2;SKEY=1,2026-07-16T14:47:59+08:00,2013-05-16,correction_date_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t56_2816_2013Q1_eb101c71b11be2e7.html,sha256://eb101c71b11be2e79fccba32c22843f5b4f224bed9e9ea86ffe08f3c96af0f23,eb101c71b11be2e79fccba32c22843f5b4f224bed9e9ea86ffe08f3c96af0f23,66388,text/html,external_content_addressed_archive_verified,False,False,Correction detail does not supply immutable before and after payloads.
t57_pdf_2816_2013Q1,2013Q1_2816_ir_revision,2013Q1,current_canonical_financial_report_pdf,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,POST step=9;kind=A;co_id=2816;filename=201301_2816_AI2.pdf then GET generated /pdf path,2026-07-16T14:47:59+08:00,2013-04-30T14:58:52+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t57_pdf_2816_2013Q1_df3bd64b27dfc2bf.pdf,sha256://df3bd64b27dfc2bf53a75f1560a152aed7361d2ba8ee9605715ed81709470e0b,df3bd64b27dfc2bf53a75f1560a152aed7361d2ba8ee9605715ed81709470e0b,449064,application/pdf,external_content_addressed_archive_verified,False,False,Current canonical PDF is retained but public prior payload selection is unavailable.
t57_2330_2025Q1,2025Q1_2330_cr_upload,2025Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2330;year=114;seamon=;mtype=A,2026-07-16T14:46:49+08:00,2025-05-15T13:40:15+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_2330_2025Q1_cfe39d9ba137ca01.html,sha256://cfe39d9ba137ca012caf74ebddfdb30aba1f00b7d34e9141941a8649036f3878,cfe39d9ba137ca012caf74ebddfdb30aba1f00b7d34e9141941a8649036f3878,7869,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t57_5347_2025Q1,2025Q1_5347_cr_upload,2025Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=5347;year=114;seamon=;mtype=A,2026-07-16T14:46:49+08:00,2025-05-06T13:48:16+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_5347_2025Q1_dcd2cc6710219df6.html,sha256://dcd2cc6710219df67a31c34f34c91938423e17a18c31f09baa6a0bfcaa0d23cf,dcd2cc6710219df67a31c34f34c91938423e17a18c31f09baa6a0bfcaa0d23cf,7867,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t57_2881_2025Q1,2025Q1_2881_cr_upload,2025Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,POST step=1;colorchg=1;co_id=2881;year=114;seamon=;mtype=A;check2858=Y,2026-07-16T14:46:49+08:00,2025-05-29T16:03:54+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_2881_2025Q1_4e17588aff0088db.html,sha256://4e17588aff0088db3a3ea6546b6f4d4001b61310aad4fc354ec9994ea6d18e7e,4e17588aff0088db3a3ea6546b6f4d4001b61310aad4fc354ec9994ea6d18e7e,6932,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t57_2816_2025Q1,2025Q1_2816_ir_upload,2025Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2816;year=114;seamon=;mtype=A,2026-07-16T14:46:49+08:00,2025-05-12T12:22:03+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144649_t57_2816_2025Q1_71ef7f2d5c6e6379.html,sha256://71ef7f2d5c6e637943e4936467b4101556738850bc96469ceb90a3bd9c15221a,71ef7f2d5c6e637943e4936467b4101556738850bc96469ceb90a3bd9c15221a,6932,text/html,external_content_addressed_archive_verified,False,False,Visible PDF upload metadata cannot be assigned to XBRL facts.
t05_4552_2025Q1_initial,2025Q1_4552_cr_revision_leakage,2025Q1,material_information_initial_metric,mops_historical_material_information,https://mopsov.twse.com.tw/mops/web/ajax_t05st01,POST step=2;TYPEK=sii;co_id=4552;year=114;spoke_date=20250513;spoke_time=135937;seq_no=2,2026-07-16T14:47:59+08:00,2025-05-13T13:59:37+08:00,announcement_timestamp_for_mentioned_fields_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t05_4552_2025Q1_initial_21aab3bf2402bd1e.html,sha256://21aab3bf2402bd1ebf4dfdaf6eb3f7aa2b6ddb19e42e5baa635aa41ba45ed16a,21aab3bf2402bd1ebf4dfdaf6eb3f7aa2b6ddb19e42e5baa635aa41ba45ed16a,6379,text/html,external_content_addressed_archive_verified,False,False,Initial EPS announcement timestamp applies only to the announced metric.
t05_4552_2025Q1_correction,2025Q1_4552_cr_revision_leakage,2025Q1,material_information_metric_correction,mops_historical_material_information,https://mopsov.twse.com.tw/mops/web/ajax_t05st01,POST step=2;TYPEK=sii;co_id=4552;year=114;spoke_date=20250516;spoke_time=150612;seq_no=1,2026-07-16T14:47:59+08:00,2025-05-16T15:06:12+08:00,announcement_timestamp_for_mentioned_fields_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t05_4552_2025Q1_correction_beed0b027b4b677f.html,sha256://beed0b027b4b677f63d2c61ee713032d85adcfca0e5c70ede7bd2cca62fc07c7,beed0b027b4b677f63d2c61ee713032d85adcfca0e5c70ede7bd2cca62fc07c7,6009,text/html,external_content_addressed_archive_verified,False,False,Correction proves EPS change but not complete statement version lineage.
t56_4552_2025Q1_correction,2025Q1_4552_cr_revision_leakage,2025Q1,financial_report_correction_detail,mops_financial_report_correction,https://mopsov.twse.com.tw/mops/web/ajax_t56sb31_q1,GET step=2;TYPEK=sii;CID=4552;YEAR_SEASON=202501;RID=4;DTYPE=I1;SKEY=1,2026-07-16T14:47:59+08:00,2025-05-16,correction_date_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t56_4552_2025Q1_ec66623bbe9d3ed2.html,sha256://ec66623bbe9d3ed2975317743339acaa5a26dc1ce72976193195244a565832b0,ec66623bbe9d3ed2975317743339acaa5a26dc1ce72976193195244a565832b0,61292,text/html,external_content_addressed_archive_verified,False,False,Correction detail does not supply immutable before and after payloads.
t57_4552_2025Q1,2025Q1_4552_cr_revision_leakage,2025Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=4552;year=114;seamon=;mtype=A,2026-07-16T14:47:59+08:00,2025-05-13T15:22:01+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t57_4552_2025Q1_34d6b6a44dab3dc1.html,sha256://34d6b6a44dab3dc1f2b1beb27ffef5b4243c70cd62c22a9ebc404d9a2eaff91e,34d6b6a44dab3dc1f2b1beb27ffef5b4243c70cd62c22a9ebc404d9a2eaff91e,7136,text/html,external_content_addressed_archive_verified,False,False,Visible document upload precedes a known correction but is not XBRL revision filed_at.
t57_pdf_4552_2025Q1,2025Q1_4552_cr_revision_leakage,2025Q1,current_canonical_financial_report_pdf,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,POST step=9;kind=A;co_id=4552;filename=202501_4552_AI1.pdf then GET generated /pdf path,2026-07-16T14:47:59+08:00,2025-05-13T15:22:01+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_t57_pdf_4552_2025Q1_99a7320d1c22d35c.pdf,sha256://99a7320d1c22d35c0b88166655f6912b6da26f53869ca1f0276afaa42cd20fd4,99a7320d1c22d35c0b88166655f6912b6da26f53869ca1f0276afaa42cd20fd4,1062162,application/pdf,external_content_addressed_archive_verified,False,False,Current canonical PDF is retained but public prior payload selection is unavailable.
xbrl_4552_2025Q1_current,2025Q1_4552_cr_revision_leakage,2025Q1,current_visible_company_xbrl,mops_xbrl_single_company,https://mopsov.twse.com.tw/server-java/t164sb01,GET functionName=t164sb01;step=9;co_id=4552;year=2025;season=1;report_id=C,2026-07-16T14:47:59+08:00,,current_payload_capture_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716144759_xbrl_4552_2025Q1_8d23008d8565964a.zip,sha256://8d23008d8565964acf1c784102411a5e7217d86849ed239001740448c611f277,8d23008d8565964acf1c784102411a5e7217d86849ed239001740448c611f277,412344,application/zip,external_content_addressed_archive_verified,False,False,Current XBRL contains corrected EPS and cannot be assigned to the initial public time.
twse_correction_guidance,twse_financial_report_correction_guidance,current_process_guidance,official_correction_process_guidance,twse_financial_report_correction_guidance,https://www.twse.com.tw/staticFiles/news/event/ff80808167ee6fdf0169be45e16c09db.pdf,GET official filing guidance PDF pages 21-22,2026-07-16T15:26:27+08:00,,current_document_capture_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260716152627_twse_correction_guidance_7c5502cbcd4eab7f.pdf,sha256://7c5502cbcd4eab7f391c40e24a5375b1b8f9a4cea8e3aa345c674623d595cd1e,7c5502cbcd4eab7f391c40e24a5375b1b8f9a4cea8e3aa345c674623d595cd1e,4772785,application/pdf,external_content_addressed_archive_verified,False,False,HTTP Last-Modified is metadata and is not treated as company filing availability.
