research_id,artifact_version,source_research_id,advisory_status,model_id,gap_scope,gap_classification,source_event_key,stock_id,stock_name,signal_date,confirmation_date,entry_date,exit_date,entry_price,exit_price,return_pct,return_bucket,selected_trigger_id_current_v1,matched_trigger_ids_current_v1,present_in_raw_rerun,present_in_current_formal_reproducer,current_formal_reproducer_selected_count_for_stock,present_in_timing_audit_60d,present_in_semantic_audit,present_in_formal_operation_events,timing_audit_max_signal_date,formal_events_max_signal_date,raw_rerun_max_signal_date,promotion_impact,recommended_owner,source_gap_reason,root_cause_classification,root_cause_evidence,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,inside_timing_artifact_window,source_gap_inside_timing_window_promotion_blocker,8077|20260529|20260601|pullback_5ma_confirmed|20260602|20260616|49.0|49.65,8077,洛碁,20260529,20260601,20260602,20260616,49.0,49.65,1.3265,win,pullback_5ma_confirmed,pullback_5ma_confirmed|next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_10ma_confirmed,True,True,4,False,False,False,20260617,20260617,20260622,promotion_blocked_pending_research_source_sync,research_backtest_source_reconciliation,"raw price-history rerun reconstructed an event absent from timing, semantic, and formal operation artifacts",current_formal_producer_reproduces_event_existing_artifact_unsynced,current_formal_reproducer_selected_count_for_stock=4;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,inside_timing_artifact_window,source_gap_inside_timing_window_promotion_blocker,8077|20260603|20260604|pullback_5ma_confirmed|20260605|20260612|54.6|49.0,8077,洛碁,20260603,20260604,20260605,20260612,54.6,49.0,-10.2564,loss,pullback_5ma_confirmed,pullback_5ma_confirmed|next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_10ma_confirmed,True,True,4,False,False,False,20260617,20260617,20260622,promotion_blocked_pending_research_source_sync,research_backtest_source_reconciliation,"raw price-history rerun reconstructed an event absent from timing, semantic, and formal operation artifacts",current_formal_producer_reproduces_event_existing_artifact_unsynced,current_formal_reproducer_selected_count_for_stock=4;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,2061|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260706|59.9|80.1,2061,風青,20260618,20260622,20260623,20260706,59.9,80.1,33.7229,win,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,True,True,3,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=3;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,2492|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260629|645.0|501.0,2492,華新科,20260618,20260622,20260623,20260629,645.0,501.0,-22.3256,loss,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,True,True,8,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=8;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,4551|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260629|226.0|216.0,4551,智伸科,20260618,20260622,20260623,20260629,226.0,216.0,-4.4248,loss,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,True,True,5,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=5;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,5489|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260706|56.3|66.7,5489,彩富,20260618,20260622,20260623,20260706,56.3,66.7,18.4725,win,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,True,True,2,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=2;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,6259|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260706|39.35|38.75,6259,百徽,20260618,20260622,20260623,20260706,39.35,38.75,-1.5248,loss,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed|pullback_10ma_confirmed,True,True,2,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=2;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,6834|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260706|112.0|128.0,6834,天二科技,20260618,20260622,20260623,20260706,112.0,128.0,14.2857,win,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,True,True,5,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=5;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,8081|20260618|20260622|next_day_break_signal_high_confirmed|20260623|20260702|342.0|287.0,8081,致新,20260618,20260622,20260623,20260702,342.0,287.0,-16.0819,loss,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed|pullback_10ma_confirmed,True,True,1,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=1;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
volume_range_breakout_v2_source_gap_reconciliation,volume_range_breakout_v2_source_gap_reconciliation_20260708,volume_range_breakout_v2_raw_market_rerun,warning_research_variant_only,volume_range_breakout,after_timing_artifact_window,freshness_extension_after_timing_window,5489|20260622|20260623|next_day_break_signal_high_confirmed|20260624|20260707|61.9|64.3,5489,彩富,20260622,20260623,20260624,20260707,61.9,64.3,3.8772,win,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,True,True,2,False,False,False,20260617,20260617,20260622,requires_research_artifact_refresh_before_promotion,research_backtest_source_refresh,raw price-history rerun includes a newer signal date than the current timing/semantic/formal artifacts,current_formal_producer_reproduces_event_after_artifact_window,current_formal_reproducer_selected_count_for_stock=2;event_key_reproduced=True,False,not_production_ready_research_only,2026-07-08 14:52:58 Asia/Taipei
