path,kind,owner,status,purpose,allowed_workflows,allowed_stage_patterns
scripts/build_tdcc_dataset_manifest.py,python,tdcc_weekly,active,TDCC canonical content-addressed dataset manifest builder,.github/workflows/tdcc_weekly.yml,
scripts/build_tdcc_analytics_store.py,python,tdcc_weekly,active,TDCC canonical-derived Parquet and DuckDB analytics builder,.github/workflows/tdcc_weekly.yml;.github/workflows/tdcc_weekly_pr_validation.yml,
scripts/tdcc_analytics_store.py,python,tdcc_weekly,active,TDCC analytics serialization and validation contract,.github/workflows/tdcc_weekly.yml;.github/workflows/tdcc_weekly_pr_validation.yml,
scripts/validate_tdcc_analytics_store.py,python,tdcc_weekly,active,TDCC canonical-derived analytics store validator,.github/workflows/tdcc_weekly.yml;.github/workflows/tdcc_weekly_pr_validation.yml,
tests/test_tdcc_analytics_store.py,test_python,tdcc_weekly,active,TDCC analytics lineage hash exact-period and workflow regression tests,,
scripts/tdcc_dataset_contract.py,python,repo_infrastructure,active,shared TDCC canonical dataset identity and snapshot coverage contract,,
scripts/validate_tdcc_dataset_manifest.py,python,repo_infrastructure,active,shared TDCC canonical dataset manifest validator,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_weekly.yml,
scripts/research_tdcc_dataset_consumer.py,python,repo_infrastructure,active,shared fail-closed canonical full-history TDCC manifest consumer adapter,,
scripts/validate_research_tdcc_dataset_consumers.py,python,research_backtest,active,research canonical TDCC source and output lineage validator,.github/workflows/research_backtest_pipeline.yml,
tests/test_tdcc_dataset_contract.py,test_python,tdcc_weekly,active,TDCC canonical dataset identity coverage and gap regression tests,,
docs/apps_script_workflow_trigger.gs,executable_script,repo_infrastructure,active,Google Apps Script workflow trigger helper documented for external automation,,
scripts/ci_push_with_retry.sh,executable_script,repo_infrastructure,active,GitHub Actions push helper with retry default and fail-closed immutable-base mode,,
backfill_official_daily_price.py,python,official_price_data,active,official price data script: backfill_official_daily_price,.github/workflows/daily_full_pipeline.yml;.github/workflows/debug_tpex_fetch.yml;.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml;.github/workflows/official_price_backfill.yml;.github/workflows/official_price_fetch.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml;.github/workflows/warrant_flow.yml,
build_all_candidates_latest.py,python,daily_production,active,daily production script: build_all_candidates_latest,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
build_chatgpt_daily_report_packet.py,python,repo_infrastructure,active,repository infrastructure script: build_chatgpt_daily_report_packet,,
build_chatgpt_daily_report_rules.py,python,repo_infrastructure,active,repository infrastructure script: build_chatgpt_daily_report_rules,,
build_daily_market_report_artifacts.py,python,daily_production,active,daily production script: build_daily_market_report_artifacts,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
build_data_freshness_latest.py,python,repo_infrastructure,active,daily publication freshness status builder owned by the Daily Full Pipeline,.github/workflows/daily_full_pipeline.yml;.github/workflows/historical_structured_source_replay.yml,
build_revenue_breakout_low_response.py,python,daily_production,active,daily production script: build_revenue_breakout_low_response,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
build_warrant_flow_latest.py,python,warrant,active,warrant data/report script: build_warrant_flow_latest,.github/workflows/daily_full_pipeline.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/warrant_flow.yml,
current_holdings_pattern.py,python,current_holdings,active,current holdings workflow script: current_holdings_pattern,.github/workflows/current_holdings_pattern.yml,
debug_tpex_fetch.py,python,diagnostics,manual_diagnostic,diagnostic utility: debug_tpex_fetch,.github/workflows/debug_tpex_fetch.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/test_tdcc_trend.yml,
ensure_daily_report_readme.py,python,repo_infrastructure,active,repository infrastructure script: ensure_daily_report_readme,,
ensure_report_aliases.py,python,repo_infrastructure,active,repository infrastructure script: ensure_report_aliases,,
fetch_official_daily_price.py,python,official_price_data,active,official price data script: fetch_official_daily_price,.github/workflows/daily_full_pipeline.yml;.github/workflows/debug_tpex_fetch.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml;.github/workflows/official_price_backfill.yml;.github/workflows/official_price_fetch.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml;.github/workflows/warrant_flow.yml,
generate_candidate_charts.py,python,diagnostics,manual_diagnostic,diagnostic utility: generate_candidate_charts,.github/workflows/debug_tpex_fetch.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/test_tdcc_trend.yml,
merge_warrant_flow_into_candidates.py,python,warrant,active,warrant data/report script: merge_warrant_flow_into_candidates,.github/workflows/daily_full_pipeline.yml;.github/workflows/warrant_flow.yml,
publish_chatgpt_report_readme_and_check.py,python,repo_infrastructure,active,repository infrastructure script: publish_chatgpt_report_readme_and_check,,
scripts/action_decision_utils.py,python,individual_stock,active,individual-stock action wording helper; not allowed in daily production surfaces,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,
scripts/apply_fundamental_catalyst_layer.py,python,catalyst_event,active,catalyst/event data script: apply_fundamental_catalyst_layer,.github/workflows/daily_full_pipeline.yml;.github/workflows/weekly_theme_review.yml,
scripts/apply_revenue_industry_applicability.py,python,daily_production,active,daily production script: apply_revenue_industry_applicability,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/audit_daily_candidate_model_selection_correctness.py,python,daily_production,active,daily production script: audit_daily_candidate_model_selection_correctness,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/weekly_theme_review.yml,
scripts/audit_daily_candidate_pipeline_integrity.py,python,daily_production,active,daily production script: audit_daily_candidate_pipeline_integrity,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/weekly_theme_review.yml,
scripts/audit_daily_data_layer_consistency.py,python,daily_production,active,daily production script: audit_daily_data_layer_consistency,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/backfill_historical_all_candidates_snapshots_from_git_history.py,python,daily_production,active,daily production historical all_candidates source-row snapshot backfill from git history,,
scripts/backfill_tdcc_history.py,python,tdcc_weekly,active,TDCC weekly/holder-flow script: backfill_tdcc_history,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml,
scripts/build_approved_operation_patterns.py,python,research_backtest,active,research/backtest script: build_approved_operation_patterns,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_candidate_repeat_appearance.py,python,daily_production,active,daily production script: build_candidate_repeat_appearance,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_chatgpt_indicator_usage_guide.py,python,repo_infrastructure,active,repository infrastructure script: build_chatgpt_indicator_usage_guide,,
scripts/build_daily_candidate_model_layer.py,python,daily_production,active,daily production script: build_daily_candidate_model_layer,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml,
scripts/build_daily_model_parameter_recommendations.py,python,research_backtest,active,research/backtest script: build_daily_model_parameter_recommendations,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_daily_model_parameter_research.py,python,research_backtest,active,research/backtest script: build_daily_model_parameter_research,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/revenue_unreacted_range_close_confirmation_timing.py,python,research_backtest,active,research/backtest revenue_unreacted_range close-confirmed timing lifecycle audit module,.github/workflows/research_backtest_pipeline.yml,
scripts/revenue_unreacted_range_fixed_confirmation_feature_contrast.py,python,research_backtest,active,research/backtest revenue_unreacted_range fixed-confirmation success versus failure feature contrast module,.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_model_background_data_cleanup_audit.py,python,research_backtest,active,research/backtest daily model background data cleanup audit builder,.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_model_signal_background_features.py,python,research_backtest,active,research/backtest shared point-in-time daily model signal background feature panel,.github/workflows/research_backtest_pipeline.yml,
scripts/backfill_monthly_revenue_history_from_mops_html.py,python,daily_production,active,validated historical monthly revenue backfill from official MOPS static HTML,,
scripts/build_monthly_revenue_history.py,python,daily_production,active,full-market monthly revenue history data layer builder,.github/workflows/daily_full_pipeline.yml,
scripts/build_monthly_revenue_coverage_backfill_audit.py,python,daily_production,active,monthly revenue coverage and validated backfill requirement audit builder,.github/workflows/daily_full_pipeline.yml,
scripts/build_monthly_revenue_point_in_time_panel.py,python,research_backtest,active,research/backtest monthly revenue point-in-time panel builder,.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_published_snapshot_ranking_backtest.py,python,research_backtest,active,published daily snapshot ranking backtest,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_daily_report_model_summary.py,python,daily_production,active,daily production script: build_daily_report_model_summary,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml,
scripts/build_daily_short_term_specialty_packet.py,python,daily_production,active,daily production short-term specialty packet,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_theme_leadership_layer.py,python,daily_production,active,daily production script: build_daily_theme_leadership_layer,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_volume_breakout_operation_section.py,python,daily_production,active,daily production script: build_daily_volume_breakout_operation_section,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_price_pullback_23ema_operation_section.py,python,daily_production,active,daily model operation script: build price_pullback_23ema operation section adapter,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_daily_w_bottom_operation_sections.py,python,daily_production,active,daily model operation script: build W-bottom operation section adapters,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_historical_pattern_operation_registry.py,python,research_backtest,active,research/backtest script: build_historical_pattern_operation_registry,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_volume_breakout_buy_signal_grid.py,python,research_backtest,active,research/backtest script: build_volume_breakout_buy_signal_grid,.github/workflows/research_backtest_pipeline.yml,
scripts/build_volume_breakout_tdcc_buy_signal_grid.py,python,research_backtest,active,research/backtest script: build_volume_breakout_tdcc_buy_signal_grid,.github/workflows/research_backtest_pipeline.yml,
scripts/build_individual_stock_chatgpt_packets.py,python,individual_stock,active,individual stock packet builder consuming canonical TDCC dataset continuity and lineage contract,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,
scripts/individual_tdcc_dataset_consumer.py,python,individual_stock,active,individual stock canonical TDCC dataset continuity and derived-field consumer contract,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,
scripts/build_individual_stock_raw_data_index.py,python,individual_stock,active,individual stock report/data script: build_individual_stock_raw_data_index,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,
scripts/build_individual_stock_technical_snapshot.py,python,daily_production,active,daily production stock-level technical snapshot used by full-market daily candidates,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_market_regime_dashboard.py,python,market_risk,active,market risk/context script: build_market_regime_dashboard,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_market_sentiment_context.py,python,market_risk,active,market risk/context script: build_market_sentiment_context,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_market_timing_chatgpt_packet.py,python,market_risk,active,market timing ChatGPT packet,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_market_timing_technical_backtest.py,python,research_backtest,active,market timing technical research backtest,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_model_operation_readiness.py,python,research_backtest,active,research operation readiness bridge artifact,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_msci_taiwan_rebalance_backtest.py,python,research_backtest,active,research/backtest script: build_msci_taiwan_rebalance_backtest,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_non_revenue_momentum_watch.py,python,daily_production,active,daily production script: build_non_revenue_momentum_watch,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_stock_price_history.py,python,official_price_data,active,official price data script: build_stock_price_history,.github/workflows/daily_full_pipeline.yml;.github/workflows/debug_tpex_fetch.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml;.github/workflows/official_price_backfill.yml;.github/workflows/official_price_fetch.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml;.github/workflows/warrant_flow.yml,
scripts/build_stock_theme_taxonomy.py,python,daily_production,active,daily production script: build_stock_theme_taxonomy,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_surge_precondition_model.py,python,research_backtest,active,research/backtest script: build_surge_precondition_model,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_tdcc_chatgpt_tracking_outputs.py,python,tdcc_weekly,active,TDCC weekly/holder-flow script: build_tdcc_chatgpt_tracking_outputs,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml,
scripts/build_tdcc_overheated_short_term_edge.py,python,tdcc_weekly,active,TDCC overheated short-term edge builder for TDCC weekly and TDCC research outputs,.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_weekly.yml,
