generated_at,model_id,model_name_zh,research_artifact_id,artifact_version,row_type,anomaly_exclusion_basis,decision_basis,confirmation_variant_id,confirmation_variant_name_zh,confirmation_rule,pending_window_days,exit_clock_id,exit_clock_name_zh,exit_rule,candidate_source_name_zh,source_signal_count,source_unique_stock_count,source_anomaly_candidate_count,partition_key,partition_count,partition_rate_pct,source_partition_total_count,source_partition_status,approved_for_daily,production_change,promotion_readiness,candidate_source_rule,point_in_time_rule,pending_episode_count,confirmed_episode_count,unconfirmed_episode_count,not_evaluable_episode_count,confirmation_rate_pct,avg_confirmation_delay_trading_days,median_confirmation_delay_trading_days,suppressed_source_signal_count,source_signal_accounted_count,source_signal_accounting_status,same_stock_overlap_pair_count,unconfirmed_counterfactual_mature_count,avoided_failure_count,avoided_failure_rate_of_unconfirmed_pct,missed_win_count,missed_win_rate_of_unconfirmed_pct,unconfirmed_counterfactual_avg_return_pct,unconfirmed_counterfactual_median_return_pct,paired_timing_cost_count,avg_timing_cost_vs_direct_signal_d20_pct,median_timing_cost_vs_direct_signal_d20_pct,win_definition,neutral_definition,failure_definition,entry_rule,stop_rule,uses_intraday_operation_price,known_before_entry_open_rate_pct,sample_count_policy,accepted_trade_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,loss_5_count,loss_5_rate_pct,control_expected_source_signal_count,control_expected_accepted_trade_count,control_parity_status
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,insufficient_future_10d_window,5453.0,6.6838,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=0|range23=0|ma20_ema23=0,15683.0,19.2229,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=0|range23=0|ma20_ema23=1,17672.0,21.6608,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=0|range23=1|ma20_ema23=1,8779.0,10.7606,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=1|range23=0|ma20_ema23=0,7101.0,8.7038,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=1|range23=0|ma20_ema23=1,14197.0,17.4015,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=1|range23=1|ma20_ema23=0,2.0,0.0025,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,source_partition,including_unresolved_anomaly_candidates_primary,True,three_variant_source_partition,三種確認分支來源交集,raw source-signal confirmation overlap; performance is not pooled,10,not_applicable_source_partition,不適用,不適用,營收爆發但股價尚未反應候選池,81585,1305,11533,next_day=1|range23=1|ma20_ema23=1,12698.0,15.5641,81585.0,pass,False,none,research_only_not_promotion_ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,control_baseline,including_unresolved_anomaly_candidates_primary,True,signal_close_control,訊號日直接進場對照組,候選條件於訊號日收盤成立，不等待額外確認；僅供研究對照，不是新模型。,0,signal_d20_close,維持原訊號日 D+20 收盤,確認後次一交易日開盤進場，但仍於原訊號日後第 20 個交易日收盤出場。,營收爆發但股價尚未反應候選池,81585,1305,11533,,,,,,False,none,blocked_pending_root_cause_anomaly_candidate_review,canonical monthly revenue as-of strong condition plus recent 23-day range/no-active-attack proxy,monthly revenue source_table_date <= signal_date,5440.0,5440.0,0.0,0.0,100.0,0.0,0.0,76145.0,81585.0,pass,0.0,0.0,0.0,,0.0,,,,4762.0,0.0,0.0,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,"confirmation date close known first, then next trading day open entry",none in timing audit; isolate confirmation timing before stop research,False,100.0,reported_not_a_disqualifier,4762.0,1427.0,893.0,2442.0,29.9664,18.7526,51.281,2.9429,-0.3454,1137.0,23.8765,1401.0,29.4204,81585,4762,pass
2026-07-14 18:11:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,next_day_close_continuation,隔日續強確認型,訊號後第一個交易日收盤價高於訊號日收盤價。,1,signal_d20_close,維持原訊號日 D+20 收盤,確認後次一交易日開盤進場，但仍於原訊號日後第 20 個交易日收盤出場。,營收爆發但股價尚未反應候選池,81585,1305,11533,,,,,,False,none,blocked_pending_root_cause_anomaly_candidate_review,canonical monthly revenue as-of strong condition plus recent 23-day range/no-active-attack proxy,monthly revenue source_table_date <= signal_date,10340.0,4857.0,5455.0,28.0,47.1005,1.0,1.0,71245.0,81585.0,pass,0.0,4837.0,2762.0,57.1015,1223.0,25.2843,0.7926,-1.4778,4272.0,-1.6999,-1.0353,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,"confirmation date close known first, then next trading day open entry",none in timing audit; isolate confirmation timing before stop research,False,100.0,reported_not_a_disqualifier,4272.0,1266.0,764.0,2242.0,29.6348,17.8839,52.4813,2.7785,-0.609,1013.0,23.7125,1246.0,29.1667,,,not_applicable
